OBJECT_SEMTYPE
mamm
virs
humn
dsyn
aapp
bact
genf
aggp
vtbt
celc
anim
phsu
orch
bpoc
sosy
lipd
bacs
imft
patf
cell
bsoj
celf
fish
fndg
orga
invt
emst
medd
carb
topp
neop
popg
gngm
horm
npop
podg
mobd
orgf
inpo
hlca
nnon
lbpr
diap
acab
phsf
grup
resa
mbrt
qnco
mnob
cgab
moft
ortf
tisu
fngs
nsba
enzy
comd
clna
irda
resd
chvf
elii
inch
biof
emod
orgm
alga
inbe
food
hops
sbst
blor
chem
antb
eico
bdsu
strd
chvs
rnlw
amph
opco
edac
nusq
plnt
bdsy
bird
menp
famg
anab
tmco
geoa
prog
socb
arch
ocdi
bodm
pros
orgt
rcpt
phpr
bmod
eehu
rept
clas
evnt
lbtr
ocac
hcro
anst
clnd
ffas
vita
rich
bhvr
dora
spco
acty
amas
inpr
hcpp
mcha
mosq
drdd
gora
ftcn
idcn
qlco
shro
phob
"barium copper yttrium oxide"
C0030705
C0030193
"gngm,aapp"
"podg,humn"
